1		I		0		4667
2		P		120		1324
3		B		40		151
4		B		80		238
5		P		240		1051
6		B		160		160
7		B		200		104
8		P		360		868
9		B		280		208
10		B		320		242
11		I		480		4731
12		B		400		121
13		B		440		112
14		P		600		1031
15		B		520		110
16		B		560		141
17		P		720		803
18		B		640		100
19		B		680		129
20		P		840		1069
21		B		760		188
22		B		800		167
23		I		960		4671
24		B		880		128
25		B		920		81
26		P		1080		1119
27		B		1000		136
28		B		1040		217
29		P		1200		1000
30		B		1120		159
31		B		1160		202
32		P		1320		1095
33		B		1240		211
34		B		1280		214
35		I		1440		4690
36		B		1360		388
37		B		1400		370
38		P		1560		931
39		B		1480		129
40		B		1520		131
41		P		1680		1182
42		B		1600		367
43		B		1640		439
44		P		1800		1206
45		B		1720		239
46		B		1760		289
47		I		1920		4611
48		B		1840		309
49		B		1880		300
50		P		2040		1049
51		B		1960		397
52		B		2000		395
53		P		2160		1154
54		B		2080		315
55		B		2120		288
56		P		2280		1226
57		B		2200		394
58		B		2240		363
59		I		2400		4798
60		B		2320		388
61		B		2360		374
62		P		2520		1060
63		B		2440		402
64		B		2480		355
65		P		2640		1174
66		B		2560		411
67		B		2600		358
68		P		2760		1154
69		B		2680		460
70		B		2720		542
71		I		2880		4541
72		B		2800		439
73		B		2840		382
74		P		3000		997
75		B		2920		286
76		B		2960		345
77		P		3120		1139
78		B		3040		363
79		B		3080		389
80		P		3240		1077
81		B		3160		341
82		B		3200		331
83		I		3360		4575
84		B		3280		330
85		B		3320		288
86		P		3480		961
87		B		3400		252
88		B		3440		287
89		P		3600		1125
90		B		3520		228
91		B		3560		254
92		P		3720		1142
93		B		3640		290
94		B		3680		292
95		I		3840		4536
96		B		3760		362
97		B		3800		292
98		P		3960		991
99		B		3880		172
100		B		3920		223
101		P		4080		1051
102		B		4000		312
103		B		4040		399
104		P		4200		1197
105		B		4120		408
106		B		4160		305
107		I		4320		4555
108		B		4240		322
109		B		4280		288
110		P		4440		1030
111		B		4360		402
112		B		4400		296
113		P		4560		1162
114		B		4480		296
115		B		4520		354
116		P		4680		1100
117		B		4600		448
118		B		4640		395
119		I		4800		4564
120		B		4720		318
121		B		4760		384
122		P		4920		1033
