1		I		0		534
2		P		120		1542
3		B		40		134
4		B		80		390
5		P		240		765
6		B		160		407
7		B		200		504
8		P		360		903
9		B		280		421
10		B		320		461
11		I		480		1711
12		B		400		582
13		B		440		530
14		P		600		623
15		B		520		570
16		B		560		562
17		P		720		540
18		B		640		419
19		B		680		447
20		P		840		509
21		B		760		317
22		B		800		438
23		I		960		1732
24		B		880		637
25		B		920		515
26		P		1080		842
27		B		1000		445
28		B		1040		426
29		P		1200		803
30		B		1120		418
31		B		1160		569
32		P		1320		437
33		B		1240		831
34		B		1280		413
35		I		1440		1741
36		B		1360		506
37		B		1400		507
38		P		1560		894
39		B		1480		446
40		B		1520		469
41		P		1680		516
42		B		1600		462
43		B		1640		671
44		P		1800		853
45		B		1720		502
46		B		1760		450
47		I		1920		1703
48		B		1840		651
49		B		1880		744
50		P		2040		577
51		B		1960		580
52		B		2000		496
53		P		2160		516
54		B		2080		451
55		B		2120		479
56		P		2280		523
57		B		2200		563
58		B		2240		457
59		I		2400		1722
60		B		2320		739
61		B		2360		588
62		P		2520		1085
63		B		2440		502
64		B		2480		564
65		P		2640		701
66		B		2560		622
67		B		2600		586
68		P		2760		864
69		B		2680		488
70		B		2720		480
71		I		2880		1666
72		B		2800		465
73		B		2840		506
74		P		3000		627
75		B		2920		527
76		B		2960		356
77		P		3120		619
78		B		3040		381
79		B		3080		381
80		P		3240		688
81		B		3160		342
82		B		3200		362
83		I		3360		1525
84		B		3280		524
85		B		3320		538
86		P		3480		725
87		B		3400		403
88		B		3440		378
89		P		3600		556
90		B		3520		256
91		B		3560		492
92		P		3720		472
93		B		3640		256
94		B		3680		253
95		I		3840		1315
96		B		3760		321
97		B		3800		312
98		P		3960		391
99		B		3880		297
100		B		3920		245
101		P		4080		591
102		B		4000		338
103		B		4040		281
104		P		4200		499
105		B		4120		244
106		B		4160		270
107		I		4320		1017
108		B		4240		220
109		B		4280		304
110		P		4440		247
111		B		4360		279
112		B		4400		212
113		P		4560		372
114		B		4480		236
115		B		4520		194
116		P		4680		260
117		B		4600		147
118		B		4640		109
119		I		4800		727
120		B		4720		247
121		B		4760		229
122		P		4920		241
123		B		4840		230
124		B		4880		166
125		P		5040		168
126		B		4960		124
127		B		5000		72
128		P		5160		144
129		B		5080		118
130		B		5120		86
131		I		5280		587
132		B		5200		159
133		B		5240		232
134		P		5400		228
135		B		5320		167
136		B		5360		138
137		P		5520		170
138		B		5440		122
139		B		5480		77
140		P		5640		157
141		B		5560		104
142		B		5600		91
143		I		5760		545
144		B		5680		237
145		B		5720		218
146		P		5880		276
147		B		5800		148
148		B		5840		122
149		P		6000		175
150		B		5920		115
151		B		5960		83
152		P		6120		163
153		B		6040		114
154		B		6080		80
155		I		6240		562
156		B		6160		137
157		B		6200		147
158		P		6360		155
159		B		6280		89
160		B		6320		109
161		P		6480		199
162		B		6400		137
163		B		6440		79
164		P		6600		147
165		B		6520		118
166		B		6560		126
167		I		6720		562
168		B		6640		225
169		B		6680		211
170		P		6840		236
171		B		6760		142
172		B		6800		122
173		P		6960		179
174		B		6880		88
175		B		6920		98
176		P		7080		160
177		B		7000		124
178		B		7040		127
179		I		7200		588
180		B		7120		172
181		B		7160		148
182		P		7320		191
183		B		7240		152
184		B		7280		136
185		P		7440		183
186		B		7360		142
187		B		7400		87
188		P		7560		182
189		B		7480		134
190		B		7520		80
191		I		7680		641
192		B		7600		194
193		B		7640		256
194		P		7800		226
195		B		7720		234
196		B		7760		136
197		P		7920		237
198		B		7840		119
199		B		7880		126
200		P		8040		152
201		B		7960		124
202		B		8000		80
203		I		8160		583
204		B		8080		186
205		B		8120		207
206		P		8280		259
207		B		8200		183
208		B		8240		114
209		P		8400		164
210		B		8320		122
211		B		8360		122
212		P		8520		166
213		B		8440		116
214		B		8480		98
215		I		8640		586
216		B		8560		175
217		B		8600		205
218		P		8760		214
219		B		8680		105
220		B		8720		130
221		P		8880		152
222		B		8800		87
223		B		8840		135
224		P		9000		193
225		B		8920		115
226		B		8960		115
227		I		9120		666
228		B		9040		229
229		B		9080		214
230		P		9240		412
231		B		9160		220
232		B		9200		186
233		P		9360		679
234		B		9280		356
235		B		9320		380
236		P		9480		1357
237		B		9400		680
238		B		9440		800
239		I		9600		3023
240		B		9520		992
241		B		9560		1057
242		P		9720		2609
243		B		9640		1390
244		B		9680		1472
245		P		9840		3282
246		B		9760		1417
247		B		9800		1767
248		P		9960		3506
249		B		9880		1718
250		B		9920		1745
251		I		10080		6131
252		B		10000		1723
253		B		10040		1789
254		P		10200		5564
255		B		10120		2784
256		B		10160		3212
257		P		10320		6634
258		B		10240		3715
259		B		10280		4046
260		P		10440		6477
261		B		10360		4448
262		B		10400		4432
263		I		10560		8364
264		B		10480		4174
265		B		10520		4350
266		P		10680		6943
267		B		10600		4181
268		B		10640		4000
269		P		10800		7142
270		B		10720		3940
271		B		10760		3975
272		P		10920		7099
273		B		10840		4036
274		B		10880		4132
275		I		11040		9124
276		B		10960		4577
277		B		11000		4136
278		P		11160		7443
279		B		11080		4370
280		B		11120		4327
281		P		11280		7282
282		B		11200		4549
283		B		11240		4889
284		P		11400		6762
285		B		11320		4506
286		B		11360		4720
287		I		11520		8981
288		B		11440		5290
289		B		11480		5047
290		P		11640		6862
291		B		11560		3801
292		B		11600		4094
293		P		11760		7184
294		B		11680		4599
295		B		11720		4934
296		P		11880		7218
297		B		11800		4633
298		B		11840		4813
299		I		12000		8811
300		B		11920		4818
301		B		11960		4652
302		P		12120		7004
303		B		12040		5004
304		B		12080		4133
305		P		12240		7055
306		B		12160		3850
307		B		12200		4603
308		P		12360		6966
309		B		12280		4198
310		B		12320		4075
311		I		12480		8944
312		B		12400		4285
313		B		12440		4059
314		P		12600		7653
315		B		12520		4524
316		B		12560		4714
317		P		12720		8141
318		B		12640		5134
319		B		12680		5403
320		P		12840		7535
321		B		12760		4623
322		B		12800		4669
323		I		12960		8800
324		B		12880		5381
325		B		12920		4910
326		P		13080		6051
327		B		13000		4834
328		B		13040		5898
329		P		13200		7442
330		B		13120		4842
331		B		13160		5099
332		P		13320		8065
333		B		13240		4886
334		B		13280		5136
335		I		13440		8855
336		B		13360		6329
337		B		13400		6077
338		P		13560		7007
339		B		13480		6225
340		B		13520		6427
341		P		13680		7600
342		B		13600		5720
343		B		13640		5843
344		P		13800		7012
345		B		13720		4995
346		B		13760		6009
