1		I		0		3402
2		P		120		3290
3		B		40		1055
4		B		80		1650
5		P		240		2275
6		B		160		1455
7		B		200		1854
8		P		360		2357
9		B		280		1940
10		B		320		1494
11		I		480		3040
12		B		400		1503
13		B		440		1865
14		P		600		1613
15		B		520		1510
16		B		560		1271
17		P		720		2238
18		B		640		1439
19		B		680		1519
20		P		840		1713
21		B		760		1682
22		B		800		1686
23		I		960		2070
24		B		880		1389
25		B		920		1480
26		P		1080		1823
27		B		1000		1689
28		B		1040		1506
29		P		1200		1364
30		B		1120		1873
31		B		1160		954
32		P		1320		478
33		B		1240		551
34		B		1280		430
35		I		1440		964
36		B		1360		367
37		B		1400		504
38		P		1560		1008
39		B		1480		783
40		B		1520		842
41		P		1680		1052
42		B		1600		842
43		B		1640		786
44		P		1800		1075
45		B		1720		870
46		B		1760		838
47		I		1920		1656
48		B		1840		909
49		B		1880		994
50		P		2040		1431
51		B		1960		930
52		B		2000		807
53		P		2160		923
54		B		2080		706
55		B		2120		879
56		P		2280		909
57		B		2200		739
58		B		2240		594
59		I		2400		1728
60		B		2320		590
61		B		2360		640
62		P		2520		804
63		B		2440		695
64		B		2480		573
65		P		2640		760
66		B		2560		560
67		B		2600		649
68		P		2760		689
69		B		2680		544
70		B		2720		538
71		I		2880		1726
72		B		2800		581
73		B		2840		501
74		P		3000		681
75		B		2920		499
76		B		2960		581
77		P		3120		905
78		B		3040		581
79		B		3080		549
80		P		3240		857
81		B		3160		550
82		B		3200		646
83		I		3360		2067
84		B		3280		649
85		B		3320		592
86		P		3480		859
87		B		3400		598
88		B		3440		583
89		P		3600		864
90		B		3520		617
91		B		3560		514
92		P		3720		954
93		B		3640		508
94		B		3680		526
95		I		3840		3030
96		B		3760		1148
97		B		3800		1398
98		P		3960		2858
99		B		3880		1678
100		B		3920		1887
101		P		4080		2209
102		B		4000		1658
103		B		4040		1771
104		P		4200		2158
105		B		4120		1698
106		B		4160		1375
107		I		4320		3640
108		B		4240		1164
109		B		4280		1422
110		P		4440		1666
111		B		4360		1353
112		B		4400		989
113		P		4560		1388
114		B		4480		935
115		B		4520		1055
116		P		4680		1349
117		B		4600		1050
118		B		4640		925
119		I		4800		3150
120		B		4720		798
121		B		4760		692
122		P		4920		1106
123		B		4840		781
124		B		4880		912
125		P		5040		1271
126		B		4960		794
127		B		5000		740
128		P		5160		1014
129		B		5080		728
130		B		5120		762
131		I		5280		3153
132		B		5200		762
133		B		5240		697
134		P		5400		848
135		B		5320		627
136		B		5360		574
137		P		5520		816
138		B		5440		496
139		B		5480		493
140		P		5640		703
141		B		5560		451
142		B		5600		419
143		I		5760		2934
144		B		5680		380
145		B		5720		389
146		P		5880		886
147		B		5800		420
148		B		5840		437
149		P		6000		713
150		B		5920		379
151		B		5960		341
152		P		6120		703
153		B		6040		367
154		B		6080		388
155		I		6240		3020
156		B		6160		366
157		B		6200		358
158		P		6360		530
159		B		6280		390
160		B		6320		487
161		P		6480		1288
162		B		6400		408
163		B		6440		508
164		P		6600		1372
165		B		6520		619
166		B		6560		781
167		I		6720		3947
168		B		6640		602
169		B		6680		541
170		P		6840		1270
171		B		6760		537
172		B		6800		595
173		P		6960		1412
174		B		6880		777
175		B		6920		722
176		P		7080		1633
177		B		7000		648
178		B		7040		761
179		I		7200		3971
180		B		7120		700
181		B		7160		608
182		P		7320		1373
183		B		7240		570
184		B		7280		762
185		P		7440		1177
186		B		7360		503
187		B		7400		561
188		P		7560		1344
189		B		7480		495
190		B		7520		625
191		I		7680		3325
192		B		7600		371
193		B		7640		416
194		P		7800		821
195		B		7720		454
196		B		7760		445
197		P		7920		636
198		B		7840		481
199		B		7880		402
200		P		8040		783
201		B		7960		417
202		B		8000		523
203		I		8160		3328
204		B		8080		346
205		B		8120		512
206		P		8280		583
207		B		8200		443
208		B		8240		477
209		P		8400		705
210		B		8320		415
211		B		8360		546
212		P		8520		690
213		B		8440		416
214		B		8480		379
215		I		8640		3314
216		B		8560		546
217		B		8600		334
218		P		8760		643
219		B		8680		490
220		B		8720		654
221		P		8880		669
222		B		8800		436
223		B		8840		449
224		P		9000		499
225		B		8920		385
226		B		8960		383
227		I		9120		3333
228		B		9040		292
229		B		9080		258
230		P		9240		448
231		B		9160		400
232		B		9200		415
233		P		9360		389
234		B		9280		366
235		B		9320		311
236		P		9480		405
237		B		9400		345
238		B		9440		352
239		I		9600		3319
240		B		9520		287
241		B		9560		249
242		P		9720		423
243		B		9640		368
244		B		9680		371
245		P		9840		381
246		B		9760		357
247		B		9800		345
248		P		9960		519
249		B		9880		309
250		B		9920		327
251		I		10080		2891
252		B		10000		223
253		B		10040		214
254		P		10200		496
255		B		10120		255
256		B		10160		276
257		P		10320		675
258		B		10240		227
259		B		10280		255
260		P		10440		859
261		B		10360		172
262		B		10400		230
263		I		10560		1160
264		B		10480		72
265		B		10520		190
266		P		10680		321
267		B		10600		123
268		B		10640		207
269		P		10800		184
270		B		10720		100
271		B		10760		112
272		P		10920		80
273		B		10840		49
274		B		10880		48
275		I		11040		401
276		B		10960		78
277		B		11000		75
278		P		11160		713
279		B		11080		159
280		B		11120		152
281		P		11280		1320
282		B		11200		181
283		B		11240		275
284		P		11400		2370
285		B		11320		743
286		B		11360		745
287		I		11520		2581
288		B		11440		613
289		B		11480		703
290		P		11640		1350
291		B		11560		385
292		B		11600		872
293		P		11760		984
294		B		11680		541
295		B		11720		858
296		P		11880		1372
297		B		11800		976
298		B		11840		855
299		I		12000		3319
300		B		11920		899
301		B		11960		760
302		P		12120		2314
303		B		12040		1767
304		B		12080		1221
305		P		12240		2967
306		B		12160		1372
307		B		12200		2272
308		P		12360		3359
309		B		12280		1814
310		B		12320		1735
311		I		12480		4881
312		B		12400		1038
313		B		12440		1022
314		P		12600		3559
315		B		12520		2033
316		B		12560		1867
317		P		12720		3450
318		B		12640		1636
319		B		12680		1646
320		P		12840		2371
321		B		12760		1868
322		B		12800		2177
323		I		12960		5027
324		B		12880		922
325		B		12920		1316
326		P		13080		1588
327		B		13000		1510
328		B		13040		1501
329		P		13200		2987
330		B		13120		1241
331		B		13160		1308
332		P		13320		1719
333		B		13240		1412
334		B		13280		1507
335		I		13440		5021
336		B		13360		1359
337		B		13400		1158
338		P		13560		1474
339		B		13480		1447
340		B		13520		1376
341		P		13680		1432
342		B		13600		1386
343		B		13640		1324
344		P		13800		1422
345		B		13720		1137
346		B		13760		1465
347		I		13920		5084
348		B		13840		1582
349		B		13880		1105
350		P		14040		2091
351		B		13960		1050
352		B		14000		1227
353		P		14160		1426
354		B		14080		1631
355		B		14120		1907
356		P		14280		1745
357		B		14200		1267
358		B		14240		1097
359		I		14400		5037
360		B		14320		922
361		B		14360		892
362		P		14520		1598
363		B		14440		1259
364		B		14480		1229
365		P		14640		1715
366		B		14560		1252
367		B		14600		1271
368		P		14760		1466
369		B		14680		1389
370		B		14720		1108
371		I		14880		5011
372		B		14800		1013
373		B		14840		1086
374		P		15000		1890
375		B		14920		1173
376		B		14960		1158
377		P		15120		1581
378		B		15040		1065
379		B		15080		1028
380		P		15240		1550
381		B		15160		1247
382		B		15200		1088
383		I		15360		5104
384		B		15280		1250
385		B		15320		1022
386		P		15480		2059
387		B		15400		1153
388		B		15440		1239
389		P		15600		1635
390		B		15520		1478
391		B		15560		1106
392		P		15720		1666
393		B		15640		1378
394		B		15680		1095
395		I		15840		5106
396		B		15760		1551
397		B		15800		1748
398		P		15960		1939
399		B		15880		1281
400		B		15920		1195
401		P		16080		3671
402		B		16000		2008
403		B		16040		2408
404		P		16200		3376
405		B		16120		2019
406		B		16160		2115
407		I		16320		4335
408		B		16240		1192
409		B		16280		1733
410		P		16440		2466
411		B		16360		1475
412		B		16400		1423
413		P		16560		2174
414		B		16480		1113
415		B		16520		945
416		P		16680		1504
417		B		16600		957
418		B		16640		1047
419		I		16800		2275
420		B		16720		728
421		B		16760		690
422		P		16920		181
423		B		16840		813
424		B		16880		103
425		P		17040		150
426		B		16960		49
427		B		17000		50
428		P		17160		1236
429		B		17080		320
430		B		17120		401
431		I		17280		2043
432		B		17200		522
433		B		17240		381
434		P		17400		2572
435		B		17320		944
436		B		17360		1108
437		P		17520		2920
438		B		17440		1215
439		B		17480		1158
440		P		17640		2623
441		B		17560		1134
442		B		17600		1133
443		I		17760		4415
444		B		17680		1296
445		B		17720		1157
446		P		17880		1909
447		B		17800		1011
448		B		17840		1246
449		P		18000		2133
450		B		17920		1093
451		B		17960		1236
452		P		18120		1394
453		B		18040		1023
454		B		18080		1258
455		I		18240		4564
456		B		18160		968
457		B		18200		1765
458		P		18360		1609
459		B		18280		1605
460		B		18320		882
461		P		18480		2206
462		B		18400		1375
463		B		18440		1486
464		P		18600		2254
465		B		18520		1312
466		B		18560		1489
467		I		18720		4670
468		B		18640		1336
469		B		18680		1128
470		P		18840		2311
471		B		18760		1228
472		B		18800		1417
473		P		18960		2383
474		B		18880		1397
475		B		18920		1626
476		P		19080		2538
477		B		19000		1461
478		B		19040		1492
479		I		19200		5022
480		B		19120		1490
481		B		19160		1455
482		P		19320		2408
483		B		19240		1801
484		B		19280		1608
485		P		19440		2417
486		B		19360		1364
487		B		19400		1620
488		P		19560		2656
489		B		19480		1747
490		B		19520		1748
491		I		19680		5286
492		B		19600		1539
493		B		19640		1687
494		P		19800		2731
495		B		19720		1502
496		B		19760		1745
497		P		19920		2891
498		B		19840		1609
499		B		19880		1736
500		P		20040		3053
501		B		19960		2080
502		B		20000		2021
503		I		20160		5647
504		B		20080		1951
505		B		20120		1931
506		P		20280		2931
507		B		20200		1890
508		B		20240		2001
509		P		20400		2953
510		B		20320		2189
511		B		20360		2050
512		P		20520		3183
513		B		20440		2090
514		B		20480		2046
515		I		20640		6115
516		B		20560		1952
517		B		20600		2003
518		P		20760		3192
519		B		20680		2144
520		B		20720		2346
521		P		20880		3390
522		B		20800		1919
523		B		20840		2186
524		P		21000		3491
525		B		20920		2574
526		B		20960		2430
527		I		21120		6577
528		B		21040		2464
529		B		21080		2394
530		P		21240		3489
531		B		21160		2722
532		B		21200		2785
533		P		21360		3612
534		B		21280		2414
535		B		21320		2743
536		P		21480		3805
537		B		21400		2831
538		B		21440		2751
539		I		21600		6865
540		B		21520		2809
541		B		21560		2573
542		P		21720		3948
543		B		21640		2943
544		B		21680		3093
545		P		21840		3891
546		B		21760		2743
547		B		21800		2679
548		P		21960		3818
549		B		21880		1894
550		B		21920		2034
551		I		22080		7073
552		B		22000		2535
553		B		22040		2654
554		P		22200		4073
555		B		22120		2529
556		B		22160		2365
557		P		22320		3928
558		B		22240		3414
559		B		22280		2952
560		P		22440		4714
561		B		22360		3474
562		B		22400		3582
563		I		22560		6195
564		B		22480		2979
565		B		22520		2966
566		P		22680		5425
567		B		22600		3640
568		B		22640		3474
569		P		22800		5041
570		B		22720		3774
571		B		22760		3395
572		P		22920		4410
573		B		22840		3459
574		B		22880		3540
575		I		23040		4836
576		B		22960		2983
577		B		23000		2840
578		P		23160		3096
579		B		23080		2369
580		B		23120		2168
581		P		23280		4266
582		B		23200		2426
583		B		23240		2615
584		P		23400		5321
585		B		23320		3252
586		B		23360		3190
587		I		23520		6251
588		B		23440		3670
589		B		23480		4209
590		P		23640		5089
591		B		23560		3522
592		B		23600		3092
593		P		23760		4566
594		B		23680		2829
595		B		23720		3072
596		P		23880		4182
597		B		23800		3225
598		B		23840		2947
599		I		24000		5460
600		B		23920		2844
601		B		23960		1978
602		P		24120		3507
603		B		24040		1795
604		B		24080		1599
605		P		24240		3510
606		B		24160		1673
607		B		24200		2265
608		P		24360		2751
609		B		24280		1414
610		B		24320		1482
611		I		24480		4988
612		B		24400		1114
613		B		24440		1165
614		P		24600		1440
615		B		24520		1440
616		B		24560		992
